date,total_events,avg_goldstein,protest_events,conflict_events,govt_events
2015-10-03,53198,0.24139441332380898,1029,5120,4874
2015-10-04,43060,0.43879006038086388,846,3749,4401
2015-10-05,68163,0.60254536918856216,1281,4991,7304
2015-10-06,77958,0.65358013289206962,1455,5242,8411
2015-10-07,83432,0.647945632371272,1546,5317,8400
2015-10-08,82454,0.64574671938292871,1668,5325,8780
2015-10-09,77473,0.45147599808965683,1710,5901,7719
2015-10-10,50932,0.33383530982486459,1078,4149,5080
2015-10-11,41819,0.37830172887921765,973,3451,4262
2015-10-12,63109,0.57642808474227081,1261,4595,6576
2015-10-13,75502,0.5695478265476418,1700,5046,7375
2015-10-14,81910,0.55640459040410251,1758,5306,7788
2015-10-15,79697,0.70705923685960548,1566,4876,8239
2015-10-16,74550,0.66565794768611664,1404,4634,7782
2015-10-17,46710,0.50278753104393248,950,3295,4695
2015-10-18,38670,0.67442846798386236,751,2815,4019
2015-10-19,63396,0.64939428355101247,1302,4242,6552
2015-10-20,75407,0.60960388292864076,1675,4784,7648
2015-10-21,18951,0.66002321777214945,397,1106,1826
2015-10-22,9561,0.30847191716347633,208,709,1018
2015-10-23,81018,0.58505270433730783,1760,5355,8441
2015-10-24,47721,0.57266402631964974,1110,3114,4844
2015-10-25,40088,0.60234234683695875,888,2850,4145
2015-10-26,65554,0.65396009396833155,1375,4440,6527
2015-10-27,77466,0.6477615986368217,1569,4584,7932
2015-10-28,80585,0.675413538499721,1557,4704,8201
2015-10-29,80898,0.60483448292912156,1737,4911,8197
2015-10-30,76381,0.522893427598848,1813,4900,8193
2015-10-31,47447,0.486644044934348,1009,3157,5009
2015-11-01,36415,0.55733351640807449,745,2717,3947
2015-11-02,61561,0.72142915157323551,1266,3839,6400
2015-11-03,70720,0.57886736425339369,1614,4465,7304
2015-11-04,80422,0.549794832259829,1895,4971,8748
2015-11-05,80558,0.64807343777154436,1778,4896,8715
2015-11-06,77528,0.64138504798266471,1741,4434,8064
2015-11-07,47357,0.39393964989336316,1044,3339,4615
2015-11-08,39845,0.55493286485129834,758,2941,3911
2015-11-09,63773,0.68482116256095849,1361,4343,6877
2015-11-10,78407,0.65020725190352968,1907,4853,7859
2015-11-11,78611,0.7289603236188319,1629,4877,7609
2015-11-12,76423,0.73543174175313664,1697,4283,7472
2015-11-13,73934,0.59394730435253085,1788,4437,7369
2015-11-14,47336,0.38351994253844823,1226,3412,4256
2015-11-15,39546,0.43301218833763183,844,3068,3448
2015-11-16,66660,0.55057455745574591,1372,4490,6694
2015-11-17,78379,0.6119432501052573,1701,4643,8324
2015-11-18,83312,0.58264955828692166,1835,5115,8481
2015-11-19,81612,0.55910232689220829,1797,5085,8440
2015-11-20,78620,0.54898371915543143,1762,4705,8290
2015-11-21,48720,0.50447660098522173,1102,3318,5141
2015-11-22,39500,0.51288607594936686,916,2797,4099
2015-11-23,60552,0.60399491346280831,1527,3981,6484
2015-11-24,74450,0.475296171927468,1796,5049,7790
2015-11-25,73952,0.43968655344006952,1771,5249,7720
2015-11-26,47728,0.43326349312772405,1156,3429,4910
2015-11-27,44025,0.4988938103350376,1096,3162,4645
2015-11-28,37001,0.28704629604605264,951,3444,4004
2015-11-29,37229,0.39491256815923009,845,3109,3788
2015-11-30,57653,0.49955249509999528,1278,4586,5995
2015-12-01,72293,0.48128726156059293,1713,5095,7585
2015-12-02,75667,0.44245576010678345,1639,5752,8246
2015-12-03,80859,0.082906046327557811,1957,8166,8215
2015-12-04,79820,0.14593710849411176,1892,7518,8029
2015-12-05,53149,0.03495456170388906,1400,5338,5152
2015-12-06,42152,0.11929683051812476,963,4228,3958
2015-12-07,67686,0.12673817332978771,1684,6237,6735
2015-12-08,79177,0.25551485911312616,1693,6179,7881
2015-12-09,85296,0.4115702963796658,1906,5977,8813
2015-12-10,81764,0.48908688420331664,1745,5598,8395
2015-12-11,73975,0.42076512335248378,1618,4939,7524
2015-12-12,49922,0.34664356257136564,1282,3485,4944
2015-12-13,38925,0.47301734104046261,879,2819,3942
2015-12-14,62540,0.38879437160522373,1302,4705,6407
2015-12-15,75762,0.38648794910377238,1666,4923,7778
2015-12-16,81195,0.4639091077036761,1825,5236,8442
2015-12-17,79561,0.48086625356644552,1901,4989,8555
2015-12-18,74271,0.50859285589269021,1604,4564,7915
2015-12-19,50247,0.45550491581419406,1128,3291,5201
2015-12-20,37945,0.52181051521939614,719,2775,3763
2015-12-21,55675,0.53243286933265177,1236,3790,6036
2015-12-22,63781,0.48175475454287825,1552,4220,6923
2015-12-23,65347,0.37555626970281275,1537,4568,7195
2015-12-24,54047,0.32595888763351261,1401,4011,5995
2015-12-25,31237,0.33594775426577461,704,2639,3594
2015-12-26,31120,0.26308161953727471,745,2727,3474
2015-12-27,33532,0.23742991769056435,645,3126,3741
2015-12-28,47833,0.23172914096962333,996,4257,5316
2015-12-29,55569,0.2539563425668151,1303,4416,6084
2015-12-30,60342,0.30139040800768935,1647,4304,6353
2015-12-31,58051,0.27068612082479243,1709,4211,6133
2016-01-01,38829,0.25516495402920525,1000,3143,4026
2016-01-02,33530,0.36544483878204415,831,2569,3459
2016-01-03,34621,0.33251783600651252,883,2632,3382
2016-01-04,57856,0.36854950221012323,1617,4036,5897
2016-01-05,72780,0.25834020335158647,2136,5437,7300
2016-01-06,78745,0.28426058798087944,2197,5475,7684
2016-01-07,77942,0.41692540608211637,1986,4864,8057
2016-01-08,75234,0.36488024031465988,2027,4869,7473
2016-01-09,51515,0.24073376696297538,1345,3773,4694
2016-01-10,42737,0.43190209892553744,1033,3073,4137
2016-01-11,64610,0.66779291131698892,1518,4079,6573
2016-01-12,75667,0.64071523915141626,1622,4576,7799
2016-01-13,83689,0.688013956434599,1737,4742,8481
2016-01-14,81654,0.70451172018228725,1739,4629,8357
2016-01-15,80478,0.57365242680073547,1691,4781,7870
2016-01-16,55998,0.66009500339454819,1136,3406,6312
2016-01-17,47778,0.71222738505065986,995,3005,5802
2016-01-18,65209,0.69165759327670562,1620,4164,7281
2016-01-19,74717,0.69793755101972887,1788,4303,7967
2016-01-20,82421,0.69825408573412162,1814,4582,8606
2016-01-21,80238,0.66081033940895784,1844,4281,8358
2016-01-22,76655,0.65148656933416182,1632,4057,8191
2016-01-23,49781,0.58403406924807189,994,2929,5063
2016-01-24,40870,0.65386591633258118,887,2517,4034
2016-01-25,62203,0.603133289410184,1418,3709,6249
2016-01-26,75274,0.55246034488654006,1674,4655,7703
2016-01-27,83472,0.50424693312356006,1718,5384,8276
2016-01-28,84812,0.60706857525053637,1642,5143,8617
2016-01-29,76324,0.62146638016524014,1549,4449,7914
2016-01-30,53478,0.63301170606405255,1080,3198,5512
2016-01-31,42281,0.577585676977204,902,2750,4035
2016-02-01,68395,0.64860150614993617,1562,4057,6863
2016-02-02,81132,0.60388379447962592,1842,4672,8250
2016-02-03,82314,0.68796316562418014,1886,4374,8281
2016-02-04,84686,0.63365413012743921,1926,4652,8527
2016-02-05,77814,0.60070938398509954,1686,4539,7982
2016-02-06,51985,0.55519476802957135,1205,3266,5067
2016-02-07,44241,0.67399923154940611,1017,2784,4241
2016-02-08,63687,0.70610338218578772,1360,3676,6230
2016-02-09,77441,0.665794605030736,1780,4268,7565
2016-02-10,85719,0.621487651585929,1745,5023,8551
2016-02-11,91108,0.58137046143732551,2011,5697,9035
2016-02-12,88134,0.54813465883341828,1874,5823,8652
2016-02-13,56787,0.54300280013758129,1116,3821,5330
2016-02-14,50003,0.53570785761434414,925,3384,4441
2016-02-15,60910,0.63787719595654435,1354,3885,5993
2016-02-16,77668,0.703713241155939,1777,4221,7626
2016-02-17,86448,0.62503614960699239,1938,5070,8355
2016-02-18,89979,0.65572695553146421,1990,4980,8725
2016-02-19,89600,0.6665680809006852,1964,5181,8470
2016-02-20,60645,0.4308450828588587,1484,4211,5628
2016-02-21,51705,0.37954936722142052,1196,4126,4874
2016-02-22,69423,0.57670080600033791,1698,4876,6818
2016-02-23,85907,0.59084707966054839,2049,5319,8590
2016-02-24,90067,0.57352082451270758,2010,5549,9051
2016-02-25,87570,0.585627170633517,2094,5265,8727
2016-02-26,88112,0.41585936294395082,2170,6360,8345
2016-02-27,59128,0.40399303556122645,1555,4376,5169
2016-02-28,49995,0.37922992737394695,1291,4042,4217
2016-02-29,72560,0.465818636808709,2041,4915,6524
2016-03-01,85930,0.52459443991533228,2275,5396,8005
2016-03-02,93856,0.5810390385271057,2361,5216,8339
2016-03-03,87985,0.58664886060123844,2187,4994,8406
2016-03-04,83113,0.5621419031920396,2105,4463,7849
2016-03-05,53340,0.4868541432320958,1313,3318,5125
2016-03-06,49981,0.59766911426341907,1228,3111,4562
2016-03-07,69953,0.62074535759724436,1732,4237,6571
2016-03-08,81379,0.542788680126323,2054,5072,7611
2016-03-09,87926,0.46400950799535995,2169,5809,8247
2016-03-10,88205,0.46718893486763807,2328,5754,8465
2016-03-11,82664,0.521875302429111,2155,5088,8072
2016-03-12,54762,0.48972645264964765,1551,3349,5208
2016-03-13,47048,0.4295039108995064,1392,3057,4404
2016-03-14,72006,0.47821570424686832,2133,4663,7140
2016-03-15,81162,0.49233015450580309,2200,5155,8280
2016-03-16,85731,0.562261025766643,2144,4873,8472
2016-03-17,82107,0.58956118235960353,2139,4427,8227
2016-03-18,73337,0.60197853743676411,1901,4052,7119
2016-03-19,46807,0.480002991005619,1370,3096,4444
2016-03-20,41470,0.47722449963829239,1396,2872,3819
2016-03-21,68449,0.61532673961635642,1699,4388,6732
2016-03-22,79082,0.53115121013631383,1963,5203,7940
2016-03-23,84618,0.50890354298139939,2101,5355,8207
2016-03-24,83485,0.51047972689704713,2017,5103,8279
2016-03-25,72845,0.38473882902052309,1826,4982,7068
2016-03-26,47349,0.33000696952417141,1032,3477,4406
2016-03-27,39247,0.43017045888857808,878,2802,3565
2016-03-28,64454,0.46536444596146076,1495,4329,6298
2016-03-29,78292,0.49865503499718938,1881,4891,7792
2016-03-30,83465,0.5646007308452643,1938,4920,8303
2016-03-31,83783,0.6323172041727344,1958,4765,8310
2016-04-01,78337,0.59281428717320239,1737,4773,7842
2016-04-02,53379,0.47544914666816557,1213,3599,5452
2016-04-03,42316,0.505595992059741,903,2839,4034
2016-04-04,66511,0.64586760084797978,1714,4042,6573
2016-04-05,76293,0.6145517937425452,1827,4361,7562
2016-04-06,82981,0.57382349751141781,1931,4690,8210
2016-04-07,83485,0.59156355186085763,1849,4963,8194
2016-04-08,82623,0.50881957808358469,2069,5164,8495
2016-04-09,52412,0.46583797603602239,1286,3341,5228
2016-04-10,45790,0.61321249181043891,928,2905,4321
2016-04-11,64799,0.6298662016389146,1586,3788,6478
2016-04-12,75228,0.67088982825543741,1799,3894,7475
2016-04-13,81716,0.66408904009006886,2097,4304,8030
2016-04-14,83939,0.66788262905204887,2138,4521,8468
2016-04-15,79544,0.58289123001106213,2014,4444,7906
2016-04-16,48232,0.62960482667108908,1206,2738,4780
2016-04-17,43475,0.72798159861989709,929,2619,4244
2016-04-18,67961,0.67396998234255456,1677,4013,7003
2016-04-19,84971,0.53526261901119188,2119,5218,8697
2016-04-20,92168,0.6334309832259184,2162,5141,9578
2016-04-21,87212,0.74160780626519374,2105,4664,9224
2016-04-22,83618,0.77771891219593925,1826,4563,8752
2016-04-23,54536,0.50203168549215238,1378,3774,5312
2016-04-24,46856,0.47817141881509273,1152,3625,4465
2016-04-25,79611,0.67716995352342479,1875,5337,8341
2016-04-26,88008,0.64482433415143992,2026,5328,8865
2016-04-27,91437,0.61253212594463979,2131,5497,9517
