date,total_mentions,avg_tone
2023-01-26,442488,-2.7549997923047904
2023-01-27,415479,-3.2443063741812215
2023-01-28,280067,-3.3310263455420572
2023-01-29,280202,-3.3995204692742576
2023-01-30,378384,-2.7655634941058245
2023-01-31,418830,-2.4504014364187308
2023-02-01,421232,-2.1965289112622863
2023-02-02,442519,-2.2618744730715479
2023-02-03,427296,-2.2663222650415396
2023-02-04,264845,-2.5318249725059556
2023-02-05,231613,-2.4056436698210906
2023-02-06,375921,-2.6343085627725173
2023-02-07,399085,-2.2430389122843684
2023-02-08,454234,-1.8104340289219445
2023-02-09,414463,-1.8272482749398766
2023-02-10,381641,-2.1033675697841265
2023-02-11,262469,-2.36958744359887
2023-02-12,244146,-2.088306315930855
2023-02-13,361258,-2.1058015700760815
2023-02-14,404065,-1.9437976046795313
2023-02-15,401142,-2.0538856475224856
2023-02-16,409328,-2.1511716881437724
2023-02-17,407975,-2.2840508275408298
2023-02-18,283129,-2.3293261003943124
2023-02-19,263307,-1.8976541608281032
2023-02-20,419925,-1.7961974767970126
2023-02-21,433866,-1.9552011026588481
2023-02-22,436314,-2.1283950202934081
2023-02-23,452294,-2.7028260469299505
2023-02-24,448788,-2.294212179690843
2023-02-25,267362,-2.1133391200506129
2023-02-26,239805,-2.4814837056851831
2023-02-27,391023,-1.994891461055061
2023-02-28,411120,-2.1364680050272766
2023-03-01,407541,-2.3116891399816457
2023-03-02,408021,-2.3123264180274057
2023-03-03,399634,-2.3282185397116706
2023-03-04,252448,-2.2875738171862379
2023-03-05,223473,-2.2956058395207104
2023-03-06,351016,-2.29073950538638
2023-03-07,398482,-2.470508829426564
2023-03-08,398333,-2.2134801656651435
2023-03-09,422116,-2.5444659959915592
2023-03-10,425837,-2.1835920298366558
2023-03-11,260422,-2.100607598289161
2023-03-12,232908,-2.2575035845305593
2023-03-13,357863,-1.6966599848866515
2023-03-14,407425,-2.0399530346909134
2023-03-15,420078,-2.077872860715825
2023-03-16,415574,-1.9434743343616288
2023-03-17,432367,-2.1165333957591841
2023-03-18,281620,-2.7038181721374817
2023-03-19,262603,-2.6696024198654325
2023-03-20,427902,-2.0290748900268567
2023-03-21,407391,-2.0833025196633739
2023-03-22,126851,-1.6201238898863344
2023-03-23,359974,-2.1464679004511935
2023-03-24,787918,-2.3901605529416732
2023-03-25,466120,-2.2767028977303347
2023-03-26,428669,-2.1273985905870232
2023-03-27,684543,-2.1690018582736252
2023-03-28,720628,-2.48607893238947
2023-03-29,731809,-1.9765228744381609
2023-03-30,739441,-2.2727486803866306
2023-03-31,796239,-2.3909736288666728
2023-04-01,427068,-2.4145628673861426
2023-04-02,387342,-2.4581003432885651
2023-04-03,631221,-2.173767772310534
2023-04-04,812084,-2.7007196687848811
2023-04-05,800590,-2.2960106736111894
2023-04-06,699645,-2.0585252885796752
2023-04-07,633694,-2.8233888762210797
2023-04-08,437419,-2.6659059769680877
2023-04-09,392959,-2.562911864876567
2023-04-10,574805,-2.2275130196093125
2023-04-11,701065,-2.0209246660707842
2023-04-12,714827,-1.6505235537268252
2023-04-13,723981,-1.7834142677348586
2023-04-14,635879,-2.011292662925642
2023-04-15,422739,-2.1594112129636613
2023-04-16,404770,-2.5686169083735795
2023-04-17,636437,-2.604550381448238
2023-04-18,711094,-2.3960781094666075
2023-04-19,688749,-2.2923558182175432
2023-04-20,626407,-1.9946272181357081
2023-04-21,621915,-2.1549938945165503
2023-04-22,405979,-2.1030856471861643
2023-04-23,376973,-2.5866420353968311
2023-04-24,605002,-1.9653662483525738
2023-04-25,673636,-2.2396333961661097
2023-04-26,713026,-2.2817092284437064
2023-04-27,688680,-2.0498720857670882
2023-04-28,632901,-2.0502484599586497
2023-04-29,399422,-2.2114198699506522
2023-04-30,383504,-1.8680115050135573
2023-05-01,510772,-1.93562617204334
2023-05-02,620030,-2.1244061344546776
2023-05-03,686608,-2.4265524768737929
2023-05-04,710541,-2.3798366842477057
2023-05-05,644045,-2.1053458155377749
2023-05-06,435525,-1.3585694665438781
2023-05-07,388128,-2.2670607716180138
2023-05-08,553891,-2.1716313141326413
2023-05-09,684658,-2.4471941197598324
2023-05-10,682289,-2.5380167854715405
2023-05-11,679303,-2.6786827520552516
2023-05-12,656719,-2.6573180268518559
2023-05-13,469498,-1.9520133257923322
2023-05-14,394832,-1.772918146677668
2023-05-15,595707,-1.6603172302459035
2023-05-16,645715,-2.0238212562750815
2023-05-17,664251,-2.0325992997719191
2023-05-18,668282,-1.9356866044924881
2023-05-19,704540,-1.9620257519246045
2023-05-20,472402,-1.5248440078434857
2023-05-21,448004,-1.469171456271265
2023-05-22,593816,-1.7530558857806537
2023-05-23,604333,-1.8841886753819768
2023-05-24,620210,-2.0674531116342942
2023-05-25,609086,-1.9020925548246188
